date,price
25.06.18,8458.700195
26.06.18,8477.980469
27.06.18,8504.5
28.06.18,8461.709961
29.06.18,8609.299805
02.07.18,8529.589844
03.07.18,8625.490234
04.07.18,8663.530273
05.07.18,8674.040039
06.07.18,8697.419922
09.07.18,8759.919922
10.07.18,8768.910156
11.07.18,8682.929688
12.07.18,8818.19043
13.07.18,8861.049805
16.07.18,8847.959961
17.07.18,8824.669922
18.07.18,8938.120117
19.07.18,8933.969727
20.07.18,8991.339844
23.07.18,8959.790039
24.07.18,9005.580078
25.07.18,9019.459961
26.07.18,9139.469727
27.07.18,9173.200195
30.07.18,9163.379883
31.07.18,9174.330078
02.08.18,9155.570313
03.08.18,9158
06.08.18,9149.360352
07.08.18,9201.219727
08.08.18,9176.150391
09.08.18,9145.679688
10.08.18,9031.330078
13.08.18,9005.349609
14.08.18,9010.19043
15.08.18,8926.230469
16.08.18,8997.719727
17.08.18,9003.910156
20.08.18,9059.530273
21.08.18,9082.860352
22.08.18,9048.200195
23.08.18,9049.719727
24.08.18,9052.900391
27.08.18,9098.700195
28.08.18,9084.259766
29.08.18,9083.839844
30.08.18,9042.05957
31.08.18,8973.55957
03.09.18,9003.469727
04.09.18,8951.889648
05.09.18,8868.860352
06.09.18,8818.719727
07.09.18,8843.110352
10.09.18,8930.240234
11.09.18,8914.94043
12.09.18,8960.129883
13.09.18,8960.080078
14.09.18,8970
17.09.18,8936.709961
18.09.18,8915.870117
19.09.18,8939.849609
20.09.18,9000.80957
21.09.18,8995.379883
24.09.18,8946.219727
25.09.18,9021.610352
26.09.18,9080.139648
27.09.18,9112.219727
28.09.18,9087.990234
01.10.18,9127.049805
02.10.18,9087.320313
03.10.18,9175.209961
04.10.18,9097.519531
05.10.18,9042.080078
08.10.18,8964.139648
09.10.18,8964.110352
10.10.18,8892.879883
11.10.18,8639.19043
12.10.18,8660.379883
15.10.18,8653.160156
16.10.18,8794.969727
17.10.18,8750.349609
18.10.18,8779.179688
19.10.18,8872.089844
22.10.18,8865.55957
23.10.18,8767.150391
24.10.18,8724.610352
25.10.18,8706.400391
26.10.18,8665.799805
29.10.18,8759.620117
30.10.18,8854.280273
31.10.18,9022.160156
01.11.18,9017.25
02.11.18,8992.299805
05.11.18,9008.580078
06.11.18,8992.070313
07.11.18,9050.530273
08.11.18,9094.900391
09.11.18,9074.030273
12.11.18,8984.049805
13.11.18,9015.429688
14.11.18,8931.200195
15.11.18,8870.030273
16.11.18,8907.389648
19.11.18,8812.610352
20.11.18,8769.450195
21.11.18,8841.480469
22.11.18,8781.290039
23.11.18,8845.900391
26.11.18,8931.370117
27.11.18,8898.009766
28.11.18,8894.580078
29.11.18,9015.589844
30.11.18,9037.759766
03.12.18,9106.55957
04.12.18,9085
05.12.18,8939.959961
06.12.18,8660.030273
07.12.18,8741.030273
10.12.18,8551.019531
11.12.18,8715.080078
12.12.18,8861.139648
13.12.18,8814.700195
14.12.18,8713.679688
17.12.18,8602.610352
18.12.18,8528.269531
19.12.18,8540.160156
20.12.18,8414.480469
21.12.18,8417.290039
27.12.18,8195.639648
28.12.18,8429.299805
03.01.19,8466.009766
04.01.19,8608.55957
07.01.19,8535.950195
08.01.19,8629.480469
09.01.19,8687.709961
10.01.19,8801.480469
11.01.19,8828.219727
14.01.19,8760.320313
15.01.19,8824.730469
16.01.19,8873.769531
17.01.19,8914.139648
18.01.19,9023.959961
21.01.19,9011.410156
22.01.19,8966.339844
23.01.19,8957.19043
24.01.19,8937.389648
25.01.19,8922.490234
28.01.19,8857.849609
29.01.19,8940.519531
30.01.19,8965.709961
31.01.19,8969.269531
01.02.19,8996.360352
04.02.19,9011.480469
05.02.19,9150.55957
06.02.19,9143
07.02.19,9035.900391
08.02.19,9003.410156
11.02.19,9068.620117
12.02.19,9127.400391
13.02.19,9164.05957
14.02.19,9142.709961
15.02.19,9242.120117
18.02.19,9267.459961
19.02.19,9256.169922
20.02.19,9315.629883
21.02.19,9333.570313
22.02.19,9348.929688
25.02.19,9398.370117
26.02.19,9461.209961
27.02.19,9412.19043
28.02.19,9388.94043
01.03.19,9412.019531
04.03.19,9394.049805
05.03.19,9399.150391
06.03.19,9403.160156
07.03.19,9324.580078
08.03.19,9268.360352
11.03.19,9341.349609
12.03.19,9331.620117
13.03.19,9387.429688
14.03.19,9481.900391
15.03.19,9483.099609
18.03.19,9496.929688
19.03.19,9525.919922
20.03.19,9463.320313
21.03.19,9454.049805
22.03.19,9319.419922
25.03.19,9305.5
26.03.19,9389.299805
27.03.19,9390.589844
28.03.19,9405.929688
29.03.19,9477.839844
01.04.19,9538.110352
02.04.19,9536.570313
03.04.19,9570.089844
04.04.19,9563.709961
05.04.19,9541.150391
08.04.19,9547.330078
09.04.19,9582.219727
10.04.19,9556.30957
11.04.19,9549.259766
12.04.19,9484.910156
15.04.19,9513.709961
16.04.19,9579.849609
17.04.19,9596.599609
18.04.19,9571.219727
23.04.19,9635.070313
24.04.19,9655.669922
25.04.19,9694.05957
26.04.19,9724.269531
29.04.19,9740.480469
30.04.19,9769.740234
02.05.19,9746.05957
03.05.19,9741.990234
06.05.19,9657.240234
07.05.19,9577.379883
08.05.19,9621.959961
09.05.19,9430.299805
10.05.19,9472.830078
13.05.19,9363.179688
